ID,CBSA,Alcohol,Marijuana,Heroine,Cokaine,Methaphetamine,Opiates,Patients,Metro_Areas,Total_population,Male_population,Female_population,Area_ID,Poverty_percent,Per_Capita,Agriculture_related,Construction,Manufacturing,Wholesale_trade,Retail_trade,Transportation_Warehouse,Information,Banking,Professional_Scientific_Management,Education_health_services
57,19340,2264,1435,290,475,227,309,3008,"Davenport-Moline-Rock Island, IA-IL Metro Area",381913,187900,194013,19340,13.1,27674,2952,10708,32061,5176,21198,10328,3423,8941,14221,40833
58,19380,1595,1591,1343,857,65,513,3165,"Dayton, OH Metro Area",801259,387853,413406,19380,16.9,26345,1735,16605,49987,7735,42942,14087,7639,17421,36377,90021
59,19500,270,147,112,156,27,59,431,"Decatur, IL Metro Area",109833,52618,57215,19500,18.1,26259,878,2716,8440,1071,5662,3401,807,2282,3152,11296
60,19660,230,167,36,138,36,228,564,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",597824,290535,307289,19660,17.4,23935,2164,16127,14820,5183,35738,9393,4235,15510,25126,52052
61,19740,44905,11378,3841,3656,4796,2062,53314,"Denver-Aurora-Lakewood, CO Metro Area",2651392,1319273,1332119,19740,12,34173,19678,99626,92502,41548,147873,67629,50119,110301,201003,261306
62,19780,2334,1983,154,214,1094,701,3976,"Des Moines-West Des Moines, IA Metro Area",590741,290553,300188,19780,11.2,31342,4855,18958,25374,9502,34384,12726,7094,53299,31264,65461
63,19820,10451,6106,9425,5874,251,3759,22592,"Detroit-Warren-Dearborn, MI Metro Area",4292647,2081346,2211301,19820,16.9,28182,6939,81454,334221,46429,206734,77807,33810,116634,208552,426014
64,20100,317,397,382,148,5,363,738,"Dover, DE Metro Area",167477,80690,86787,20100,12.9,25259,1107,4862,6462,1155,11095,3466,919,3759,4602,18211
65,20260,1947,1549,566,127,1126,679,3298,"Duluth, MN-WI Metro Area",279894,140862,139032,20260,16.4,25992,4004,8111,10322,2640,15811,7626,1755,7588,8463,38411
66,20500,617,577,139,406,14,165,1399,"Durham-Chapel Hill, NC Metro Area",525050,252695,272355,20500,17.4,30945,2072,15987,19062,4546,21655,7333,4996,12842,33662,87839
67,20700,98,75,83,25,13,48,290,"East Stroudsburg, PA Metro Area",168342,83140,85202,20700,12.5,25266,778,3882,6820,2008,10199,4989,1488,4418,7291,17880
68,20940,111,198,79,7,62,8,353,"El Centro, CA Metro Area",177026,90736,86290,20940,23.4,16409,5643,3067,3252,1698,7728,4054,645,1993,3605,13666
69,21060,119,127,30,32,66,49,273,"Elizabethtown-Fort Knox, KY Metro Area",150917,75253,75664,21060,15.4,23879,996,3871,7714,1719,7543,3663,1286,2646,4616,13586
70,21340,639,642,135,367,53,38,1134,"El Paso, TX Metro Area",827206,403557,423649,21340,23.5,18684,3685,20144,23885,9172,38523,20947,6672,16146,30704,81949
71,21500,202,69,259,75,7,110,572,"Erie, PA Metro Area",280132,137955,142177,21500,16.7,24505,1356,5814,22297,2859,14896,4621,1762,6975,8155,35748
